Account,Date,Daily_Total_Volume,Daily_Avg_Size_USD,Daily_PnL,Losing_Trade_Ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,900880.13,5089.718248587571,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,542413.1799999999,7976.664411764705,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,949380.0,23734.5,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,338240.0,28186.666666666668,-21227.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,465700.0,17248.14814814815,1603.1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,1316799.98,16058.536341463414,-132271.0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,1116918.77,48561.68565217392,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,1212299.96,36736.36242424243,-175611.00005600002,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,5306093.62,11410.954021505377,71393.964098,0.1913978494623656
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,479429.99,9400.588039215687,40218.599998,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,1858470.0,185847.0,76710.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,19794543.66,23593.019856972587,101011.685664,0.13706793802145412
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,5616220.88,10576.687156308852,375620.270243,0.05273069679849341
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,5582863.31,26585.06338095238,44400.9058,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,1432708.93,10161.056241134751,30897.0887,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,1537560.0,32032.5,55086.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,807600.01,134600.00166666668,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,1603504.46,27178.041694915253,10152.12224,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,2898197.14,13233.776894977169,115445.395538,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,1372739.97,24958.908545454546,115287.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,134360.89,2985.797555555556,9482.221441,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,5365898.24,8371.136099843994,533974.662903,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,398200.0,79640.0,40200.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,666240.85,21491.640322580646,307855.80341,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,135847.3,2469.9509090909087,11715.94323,0.0
